Timestamp,How do you identify?,What is your twitter handle?,The US should open its borders to all immigrants.,Free trade is a net good.,The welfare state should abolish poverty for ALL people regardless of their labor status.,The welfare state should be primarily cash based. I.e UBI.,Welfare programs should avoid means-testing in favor of universal benefits.,The government should provide a national health insurance program where all services are free or very inexpensive.,The best way to fight climate change is with a carbon tax.,"Local governments should shift money away from policing and towards other initiatives such as mental health, social services, and education.",The United States should reduce its military budget.,Zoning laws are bad and should be abolished wherever possible.,The US debt is a real concern.,There should NOT be a limit on the amount of charter schools that can exist.,Occupational licensing is bad and should be abolished wherever possible.,The US Congress should be replaced with a proportionally representative legislative body.,"All private spending in elections should be abolished and replaced by publicly funded ""democracy dollars"" given to every eligible voter.",The minimum wage should be increased to $15 per hour.,"Overall, unions are good and policymakers should work to expand membership.",The US should implement a land value tax that fully captures the rents of land ownership.,Taxes should generally be flat and broad-based.,The United States government should provide cash reparations to Black and Native Americans.,Drug use should be legalized.,The US should place trade sanctions on nations who consistently violate human rights.,Public undergraduate college should be free.,The US should substantially increase foreign aid.,The US should abolish the modern prison system and replace it with a new consequence system.,Joe Biden,Elizabeth Warren,Bernie Sanders,AOC,Stacey Abrams,Pete Buttigeig,Mitt Romney,George W. Bush,Andrew Yang,Nikki Haley
6/25/2021 23:12:19,Sock,@SnowyWasTaken,1,3,5,2,3,5,5,2,5,2,5,2,1,5,5,5,5,3,1,1,4,4,5,1,2,4,3,5,5,4,3,3,2,3,1
6/25/2021 23:15:59,Sock,@taylorawillis49,5,5,5,2,5,5,4,5,4,5,1,3,5,5,2,5,5,5,2,4,4,4,4,4,4,5,5,5,5,5,5,2,1,4,1
6/25/2021 23:16:09,Globe,@SimonLaneChi,4,5,2,1,5,4,5,1,5,5,3,5,5,2,1,5,5,5,2,1,1,5,3,5,1,5,2,2,2,1,4,3,1,3,1
6/25/2021 23:19:07,Sock,const_charlie,4,4,5,5,5,5,4,4,5,4,2,2,2,5,4,5,5,5,4,3,4,2,5,5,5,2,3,5,4,4,2,2,1,3,1
6/25/2021 23:20:30,Sock,benjamintdube,4,3,4,4,4,5,4,3,4,4,2,3,2,5,4,4,4,4,4,3,4,4,4,5,3,4,5,5,5,5,4,3,1,3,2
6/25/2021 23:22:55,Sock,@anoeilodisho,3,3,5,4,5,4,2,4,3,4,1,1,2,5,5,4,5,5,2,3,4,4,5,5,5,4,5,5,5,5,3,2,1,2,1
6/25/2021 23:23:31,Globe,@realalexnj,5,5,5,4,4,4,5,3,4,5,2,4,4,3,2,4,4,4,3,4,4,5,2,4,3,5,4,2,2,5,5,2,1,5,1
6/25/2021 23:24:29,Globe,@chill_winstonn,4,5,5,4,4,5,5,4,4,5,2,3,5,5,4,5,4,5,2,5,5,3,1,5,4,4,5,4,4,5,5,3,1,3,2
6/25/2021 23:27:06,post-label left-winger,vnd_fn,5,4,5,3,5,5,2,4,4,5,1,3,3,5,1,5,5,5,1,4,4,1,4,5,3,1,4,4,4,4,2,1,1,3,1
6/25/2021 23:30:01,Sock,@Barneyguy,5,4,5,3,3,5,2,5,5,3,2,1,4,4,2,5,5,2,3,4,5,4,5,3,3,3,3,4,4,3,2,1,1,3,3
6/25/2021 23:30:22,Globe,@OskarNicholson,5,5,5,5,5,3,4,4,3,5,2,5,5,5,3,2,3,5,3,4,5,5,2,5,4,5,4,4,3,3,2,4,2,3,3
6/25/2021 23:30:58,Both,justjoshinyou13 ,4,4,4,5,3,4,3,3,2,5,3,3,5,5,2,4,4,4,3,4,4,3,2,5,3,4,4,4,4,4,4,4,2,4,2
6/25/2021 23:31:12,Globe,Koeniginator,5,5,5,4,4,5,5,2,2,5,3,2,4,5,4,4,4,5,3,3,5,5,2,5,3,5,4,4,3,4,5,2,2,4,1
6/25/2021 23:32:32,Globe,MarkORWalsh,4,5,4,4,4,4,5,2,1,4,2,4,5,5,2,3,2,4,2,3,4,5,2,4,4,4,3,3,3,4,4,2,3,4,1
6/25/2021 23:33:10,Globe,Rusee514,5,5,3,5,2,2,5,2,3,5,5,5,5,2,1,1,3,5,5,2,5,1,4,5,2,4,1,1,1,2,3,5,4,5,3
6/25/2021 23:36:13,Globe,@brickoverton,4,5,1,4,4,2,5,2,2,5,4,5,5,2,2,1,4,5,5,1,4,4,1,4,3,3,1,1,1,2,3,5,4,3,4
6/25/2021 23:37:01,🔰,holtchesley ,4,4,4,5,5,3,3,3,3,3,2,4,5,5,3,3,3,5,3,4,4,4,5,4,3,4,5,3,4,4,3,2,1,1,1
6/25/2021 23:37:19,Sock,ADHD_PolicyWonk,5,5,5,5,4,5,4,3,2,4,2,2,4,5,4,5,5,5,2,3,5,5,4,5,5,4,4,5,4,4,4,2,1,3,1
6/25/2021 23:38:27,Globe,Emiliano_gg98,5,5,4,4,3,2,5,3,2,5,3,5,5,2,2,4,4,3,3,3,5,2,4,4,3,4,3,2,2,2,5,5,3,1,1
6/25/2021 23:42:01,Both,tyler_russell52,5,4,4,3,4,5,3,4,3,5,3,3,4,4,1,4,5,3,5,2,5,5,2,3,4,5,4,4,5,5,5,3,1,3,1
6/25/2021 23:42:19,Globe,@rayroesler,5,5,1,5,3,1,4,3,1,5,2,5,5,1,1,1,2,4,4,4,3,4,1,5,3,3,1,1,2,1,2,5,5,3,1
6/25/2021 23:43:33,Both,Thesqueezetheorem,5,5,5,4,4,4,3,2,2,4,3,3,5,5,2,4,4,5,3,4,4,4,2,5,4,4,5,4,4,5,5,3,2,3,1
