Timestamp,How do you identify?,What is your twitter handle?,The US should open its borders to all immigrants.,Free trade is a net good.,The welfare state should abolish poverty for ALL people regardless of their labor status.,The welfare state should be primarily cash based. I.e UBI.,Welfare programs should avoid means-testing in favor of universal benefits.,The government should provide a national health insurance program where all services are free or very inexpensive.,The best way to fight climate change is with a carbon tax.,"Local governments should shift money away from policing and towards other initiatives such as mental health, social services, and education.",The United States should reduce its military budget.,Zoning laws are bad and should be abolished wherever possible.,The US debt is a real concern.,There should NOT be a limit on the amount of charter schools that can exist.,Occupational licensing is bad and should be abolished wherever possible.,The US Congress should be replaced with a proportionally representative legislative body.,"All private spending in elections should be abolished and replaced by publicly funded ""democracy dollars"" given to every eligible voter.",The minimum wage should be increased to $15 per hour.,"Overall, unions are good and policymakers should work to expand membership.",The US should implement a land value tax that fully captures the rents of land ownership.,Taxes should generally be flat and broad-based.,The United States government should provide cash reparations to Black and Native Americans.,Drug use should be legalized.,The US should place trade sanctions on nations who consistently violate human rights.,Public undergraduate college should be free.,The US should substantially increase foreign aid.,The US should abolish the modern prison system and replace it with a new consequence system.,Joe Biden,Elizabeth Warren,Bernie Sanders,AOC,Stacey Abrams,Pete Buttigeig,Mitt Romney,George W. Bush,Andrew Yang,Nikki Haley
6/26/2021 0:02:44,Sock,Lucasofsunshine,5,5,4,3,3,4,5,2,3,5,2,3,3,5,2,4,4,4,2,2,4,4,4,5,2,5,4,3,3,5,5,1,1,4,1
6/26/2021 0:04:35,Sock,pcarlen2,4,4,5,4,5,5,2,3,4,5,1,3,4,5,4,5,5,3,2,1,5,4,5,5,4,3,4,5,5,3,1,1,1,2,1
6/26/2021 0:07:22,Globe,lenmaer,5,5,5,5,4,4,5,5,3,5,5,2,4,5,2,5,5,4,4,5,5,5,5,5,3,5,4,4,4,4,5,2,1,4,1
6/26/2021 0:07:42,Sock,@laker42594,3,4,3,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,1,2,1
6/26/2021 0:11:53,Sock,basedball_,5,5,5,4,5,4,3,4,3,4,3,4,4,4,2,4,5,5,4,4,5,4,5,5,5,4,4,5,4,4,4,3,1,4,2
6/26/2021 0:13:10,Globe,@jacksonkernion,5,5,4,4,5,4,5,2,5,5,2,3,5,4,4,4,3,5,2,2,4,5,2,4,3,4,5,4,4,5,4,2,2,3,1
6/26/2021 0:13:45,Both,alanfzhang,4,4,4,3,4,5,3,5,4,4,2,1,2,4,3,5,5,3,2,3,4,4,3,4,4,4,5,5,4,5,5,2,1,4,1
6/26/2021 0:16:53,Both,arontraskk1,5,5,5,5,5,5,5,4,2,5,4,4,4,5,2,4,3,4,2,4,5,5,3,4,4,4,3,2,3,5,4,1,1,1,1
6/26/2021 0:18:21,Sock,pata__sucia,5,4,4,4,5,4,2,3,4,4,2,3,1,3,3,5,5,3,1,5,5,2,3,4,5,5,5,5,5,5,5,3,2,3,1
6/26/2021 0:18:50,Tulip/Globe,@laraaaanguyen,5,5,5,4,4,3,3,4,3,4,2,5,5,5,2,3,4,3,3,5,5,3,3,5,4,3,3,1,3,3,3,2,2,5,1
6/26/2021 0:21:08,Sock,PaulRinSF,2,4,5,4,4,5,4,3,4,2,2,2,1,4,5,5,4,4,2,3,4,4,4,3,4,4,5,4,4,4,3,2,1,3,2
6/26/2021 0:21:34,neither,lolfed,1,1,5,5,5,5,3,4,5,5,5,5,5,3,3,3,4,5,3,3,5,5,3,1,3,3,3,3,3,3,3,3,3,3,3
6/26/2021 0:22:21,boo,idk,5,5,5,5,5,5,4,5,5,5,3,4,4,5,5,4,3,5,1,5,5,1,5,5,5,2,4,4,4,4,2,1,1,2,1
6/26/2021 0:23:02,🧦🌐🔰🌹,@SocksxMC (I’m on my alt now because Twitter suspended me) ,4,5,5,4,5,5,5,3,3,5,1,2,5,5,3,5,5,5,4,1,5,5,5,5,4,4,4,4,4,3,4,1,1,1,1
6/26/2021 0:24:19,Both,orkoliberal,5,4,5,5,5,5,4,3,2,4,2,2,3,5,3,4,4,4,2,4,4,5,2,5,2,5,5,3,3,5,3,1,1,2,1
6/26/2021 0:26:23,Sock,@FundanJacob,5,4,5,5,5,5,3,3,4,5,3,3,4,5,4,5,5,5,4,4,5,3,5,5,5,4,5,5,5,4,3,1,1,2,2
6/26/2021 0:31:55,Sock,@theBSKTcase,5,3,5,3,2,5,4,5,5,4,2,3,2,3,2,4,5,4,1,4,5,4,5,4,5,4,5,5,5,4,4,2,1,3,3
6/26/2021 0:37:21,Sock,@1Tunnelboi,4,5,5,2,3,4,3,4,4,3,2,3,2,2,1,2,4,4,2,1,4,4,5,2,4,4,4,5,5,5,3,2,1,2,2
6/26/2021 0:41:18,Globe,@AntiCarAktion,5,5,2,4,4,3,4,4,5,5,3,5,5,4,2,2,2,4,4,4,5,3,2,3,4,3,2,2,2,3,2,2,1,2,2
6/26/2021 0:46:41,Georgist,@finprim,4,4,5,4,5,4,4,5,5,3,2,3,2,5,2,5,5,5,4,2,5,5,5,4,5,3,3,5,5,3,2,1,1,3,1
6/26/2021 0:48:07,Sock,jordantbates,4,4,4,4,4,5,5,4,4,4,2,3,3,4,4,3,4,4,2,4,4,3,4,4,4,4,5,5,4,4,4,2,1,4,1
6/26/2021 0:52:10,Both,@landpilled,5,5,5,5,5,4,4,4,3,4,3,4,5,4,2,2,4,5,4,4,5,2,3,3,4,3,4,4,3,3,3,2,1,3,2
6/26/2021 0:59:59,Sock,realcommaqueen,4,4,5,2,5,5,2,4,4,4,2,4,3,5,4,5,4,4,2,2,4,4,4,5,3,4,4,5,4,4,4,2,2,4,1
6/26/2021 1:00:08,Both,jacobherbstman ,5,4,4,4,3,4,2,3,2,5,2,3,4,2,4,4,4,4,2,3,4,4,3,4,2,4,5,4,5,5,3,2,1,2,1
6/26/2021 1:03:27,"Rose, but could be called a classical socdem i guess",@Pak_719,5,4,5,5,5,5,4,4,4,4,3,1,3,3,4,5,5,5,2,3,5,4,5,5,4,3,4,5,5,3,3,2,1,2,1
6/26/2021 1:06:51,Sock,1964NewDealFan,3,4,5,2,4,5,3,1,1,1,1,1,4,1,4,5,4,4,1,4,4,4,4,3,3,4,4,4,4,4,4,1,1,3,1
6/26/2021 1:11:22,Globe-adjacent,Trevorjtweets,3,5,4,5,4,3,4,3,5,5,2,5,5,5,1,2,3,5,4,4,5,3,2,5,4,4,4,4,4,4,4,2,1,4,1
6/26/2021 1:12:20,Sock,Termologi,4,5,3,2,4,5,5,5,4,5,1,2,4,5,2,3,5,3,3,4,5,3,4,4,5,4,4,4,4,4,4,2,1,3,1
6/26/2021 1:16:51,Globe,ColonelChibbers,5,5,2,5,2,3,5,2,3,5,4,5,5,1,2,1,2,3,5,1,5,3,1,1,2,2,1,1,1,2,2,3,2,2,2
6/26/2021 1:17:55,Sock,@armanddoma,5,4,5,4,5,5,5,5,5,5,1,2,5,5,5,5,5,5,1,5,5,2,5,5,5,4,4,5,5,4,4,3,1,4,1
6/26/2021 1:19:24,Both,jerrewillems,5,5,5,5,5,4,5,5,4,5,3,4,4,5,4,3,3,5,2,1,5,3,2,5,3,4,3,3,3,4,5,2,1,5,3
6/26/2021 1:21:37,Sock,Not telling lol,5,3,5,2,5,5,2,4,4,3,1,1,5,5,3,5,5,5,1,2,5,5,5,5,5,2,5,5,5,3,2,2,1,4,1
6/26/2021 1:22:58,Both,@augIV_b5,5,5,4,4,5,4,5,3,2,5,3,3,4,4,2,2,3,5,2,3,4,3,2,5,3,5,5,3,4,5,4,4,2,5,2
6/26/2021 1:27:07,Both,@ohshiastheres ,4,5,4,3,3,3,5,3,2,5,2,4,4,4,1,3,3,4,1,3,4,5,4,5,3,5,4,3,4,4,5,2,2,3,1
6/26/2021 1:33:33,Globe,@angelicaoung,4,5,2,4,4,5,4,2,1,5,1,3,5,5,2,5,3,5,1,1,5,3,1,3,2,5,3,3,5,4,5,3,2,4,3
6/26/2021 1:35:41,Globe,@HereWeGrogan,4,4,3,5,4,2,5,3,2,3,3,2,3,3,2,3,4,4,3,2,4,3,1,3,3,4,3,2,2,4,4,4,2,2,2
6/26/2021 1:39:33,Globe,@JdotGray,4,5,3,4,4,5,4,3,2,4,3,2,4,1,3,5,2,3,2,2,4,5,5,4,3,5,3,2,2,5,4,3,2,4,1
6/26/2021 1:40:09,Rose,@scotlandceo,5,2,5,4,4,5,4,5,5,5,3,1,2,5,4,5,5,5,1,5,2,4,5,5,2,3,4,5,5,4,3,2,1,3,2
6/26/2021 1:40:19,Globe,This poll should be anonymous,5,5,5,5,2,4,5,3,5,5,2,5,4,5,1,3,3,4,1,1,3,4,3,5,2,4,3,2,2,3,4,2,2,3,1
6/26/2021 1:40:55,Sock,@maoistbidenism,5,4,5,5,5,5,3,2,2,5,2,1,5,5,5,5,5,5,2,4,4,5,5,5,5,3,4,5,5,3,3,2,1,3,1
6/26/2021 1:41:25,Globe,@josephpolitano,5,5,4,5,4,5,5,3,2,5,2,4,4,4,3,4,4,5,4,4,4,3,4,5,3,5,4,4,4,5,4,3,2,2,2
6/26/2021 1:49:42,Sock,No,5,5,5,2,5,5,3,4,4,4,3,3,4,5,4,5,5,5,4,5,5,2,4,5,4,3,4,4,4,5,4,3,1,4,3
6/26/2021 1:50:49,Globe,ZachIntrater,4,4,4,2,3,4,4,5,4,4,2,3,4,4,2,5,4,3,2,3,4,3,4,5,2,4,5,4,4,4,5,3,2,3,2
6/26/2021 1:51:26,Globe,Jackbrandes1,5,5,4,4,3,3,5,3,1,5,2,3,4,4,2,3,3,5,2,3,5,5,3,4,3,5,2,1,2,4,4,2,1,3,1
6/26/2021 1:53:52,Sock,@burningpalefire,4,4,5,4,5,5,4,5,2,5,3,1,3,4,1,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,3,1,2,1
6/26/2021 1:54:36,Globe,@790f0fb7,5,4,4,4,5,4,4,2,3,2,3,4,3,4,1,4,4,3,4,2,4,2,2,4,4,4,4,3,4,3,4,3,2,3,1
6/26/2021 1:56:14,Sock,@CabernetIsBae,4,5,5,2,5,5,4,5,4,5,1,1,4,5,4,4,5,5,2,1,4,4,5,5,2,4,5,5,5,5,4,2,2,3,1
6/26/2021 1:59:52,Sock and Rose,Micab_Erfan,4,3,5,2,5,5,4,4,5,4,1,1,1,5,5,5,5,5,2,1,4,2,4,4,4,4,5,5,5,4,4,2,1,3,2
6/26/2021 2:01:00,Both,ReplyHobbes,4,4,3,4,4,4,3,3,3,4,2,3,4,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,2,1,3,1
6/26/2021 2:02:27,Globe,@na,4,5,4,3,2,2,4,3,2,5,3,4,4,3,2,3,3,4,4,1,4,5,1,4,3,5,3,3,3,5,5,4,3,4,2
6/26/2021 2:07:07,Sock,@JonConstructs ,4,3,4,2,5,4,2,4,5,4,3,4,4,4,2,4,4,4,5,4,4,5,3,4,3,3,4,4,4,4,3,2,1,3,1
6/26/2021 2:09:24,Both,yimbyism,5,5,5,5,5,3,5,3,4,5,1,2,5,5,1,4,4,5,2,3,5,5,2,5,2,4,4,4,3,4,4,2,1,3,1
6/26/2021 2:11:24,Sock,@RatsCurse,5,4,5,4,5,5,3,4,2,2,2,2,2,5,2,5,4,4,2,3,5,4,5,4,3,4,4,5,5,3,3,1,1,3,3
6/26/2021 2:13:13,Globe,@thesupercheckm1,4,5,4,3,3,3,4,3,1,4,4,4,2,1,2,2,4,3,2,2,4,5,1,3,2,5,3,2,2,4,4,2,2,3,2
6/26/2021 2:15:53,Globe,@androme_duh,5,5,4,4,4,4,5,2,1,5,2,2,4,4,2,4,1,2,5,4,4,5,4,5,1,5,5,2,4,3,4,2,2,2,1
6/26/2021 2:26:01,Both,dkaushik96,5,5,5,4,5,4,3,5,4,5,4,4,5,3,3,5,5,3,2,5,5,5,5,5,5,5,5,4,4,4,4,4,2,1,1
6/26/2021 2:26:29,Globe,no,4,5,2,2,1,1,5,1,2,5,3,4,2,4,1,3,3,3,3,1,4,5,1,4,1,5,3,2,2,2,4,4,3,3,1
6/26/2021 2:27:41,Sock,@ElijahRavitz,4,4,5,2,5,4,2,5,5,4,2,1,4,5,5,5,5,3,2,5,3,3,3,5,5,3,5,4,5,5,3,1,1,3,1
6/26/2021 2:41:42,Globe,@headwingHardman,4,4,4,3,3,3,4,3,3,4,3,4,4,2,2,3,3,3,2,2,4,4,2,4,3,4,3,3,3,3,4,3,3,3,2
6/26/2021 2:45:34,Sock, RokUrBdyPolitic,4,4,3,4,2,4,4,4,2,5,2,2,4,5,4,4,5,3,1,4,4,4,4,4,3,3,4,4,4,5,4,2,1,2,2
6/26/2021 2:54:10,Sock,Not applicable ,4,4,5,2,4,5,3,5,5,2,3,1,2,3,5,5,5,2,3,2,2,4,5,5,4,4,5,5,5,4,3,2,1,4,1
6/26/2021 2:56:29,Globe,private,4,5,4,2,3,3,4,3,3,4,2,2,2,2,2,2,3,3,2,1,4,3,2,4,3,4,2,2,2,2,3,2,2,3,1
6/26/2021 2:57:00,Globe,@sageburner127,5,4,3,4,3,4,5,3,1,5,2,5,4,3,3,3,3,4,4,3,4,5,2,4,3,4,2,2,2,5,4,4,4,3,3
6/26/2021 3:06:48,Both,@Berriwood1,5,5,5,4,2,5,5,5,3,5,2,4,5,5,5,5,5,5,1,4,5,5,5,4,5,5,3,3,4,4,4,2,2,2,1
6/26/2021 3:09:21,Globe,ShreddedMoney,4,5,5,5,4,3,4,3,5,5,4,4,4,5,2,2,3,4,2,4,3,4,2,4,3,4,3,3,4,4,4,4,3,4,2
6/26/2021 3:12:54,Globe,Hero_mcderp,5,5,3,4,2,2,4,5,5,5,3,5,5,3,1,2,3,4,4,2,5,2,1,2,3,2,2,2,2,3,3,3,1,1,1
6/26/2021 3:15:02,Globe/Statue of Liberty ,BFCollings,5,5,4,5,4,3,3,4,5,5,3,4,4,5,1,2,3,2,4,5,5,2,1,3,4,3,2,2,4,5,5,4,1,3,2
6/26/2021 3:15:32,Sock,andrew_lowery,4,3,5,2,5,5,3,5,4,4,2,3,2,4,4,4,4,5,4,4,5,5,4,3,5,4,4,4,4,4,3,2,1,3,1
6/26/2021 3:15:58,Georgist ,@spugpow,4,4,5,4,4,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,5,3,4,4,3,4,4,3,3,2,4,3
6/26/2021 3:18:34,Globe,greatbigdot,5,5,4,5,4,2,5,4,3,5,4,5,5,5,3,1,3,4,2,2,5,4,1,5,3,4,2,1,1,4,4,1,1,5,1
6/26/2021 3:37:30,Sock,@MinshallOliver,4,4,5,4,5,5,3,4,1,4,2,2,4,4,3,5,5,5,4,4,5,4,3,4,4,4,5,5,5,4,4,2,1,2,1
6/26/2021 3:45:04,Globe,Dksystems1,1,4,5,5,5,4,4,4,2,4,2,4,4,4,5,4,3,5,4,3,4,3,3,3,3,4,4,3,3,5,4,2,2,5,1
6/26/2021 3:49:06,Globe,VKjellvertz,4,5,3,2,2,3,5,2,2,5,3,5,5,3,2,2,2,3,5,2,5,2,1,4,3,3,2,1,1,2,3,4,3,3,1
6/26/2021 3:51:52,Sock,@jbulka22,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,5,5,5,3,5,5,5,3,5,3,5,5,5,5,4,2,1,4,1
6/26/2021 3:57:18,Globe,Nathanpmyoung,5,5,5,4,4,3,4,3,4,4,2,4,5,4,3,3,3,4,3,2,5,2,3,5,4,4,4,4,4,4,5,4,4,4,3
6/26/2021 4:37:29,Globe,@yaboishagnasty,4,5,4,5,4,5,2,2,2,5,2,4,4,5,1,5,4,5,1,3,5,5,3,5,4,4,3,3,3,4,5,3,1,3,1
6/26/2021 4:52:33,Globe,@openborders,5,5,2,4,2,4,5,1,1,4,3,2,5,5,3,1,3,2,3,1,4,4,1,4,2,4,2,1,1,1,5,2,1,1,1
6/26/2021 4:54:14,Globe,Theelout,5,5,4,5,5,4,5,4,4,5,2,5,5,5,1,4,5,5,1,5,5,1,2,4,5,5,4,4,4,3,5,4,2,4,2
6/26/2021 4:55:32,Globe,ElyEelee,5,5,5,5,5,5,4,5,3,5,4,4,4,5,3,5,5,5,4,3,5,5,5,2,5,5,4,4,4,4,5,1,1,2,1
6/26/2021 4:58:41,Globe,@behavinbehavin,5,5,3,5,4,3,5,2,3,5,3,5,5,2,2,1,2,5,3,2,5,5,1,3,2,3,2,1,1,3,4,4,3,4,3
6/26/2021 5:03:03,Globe,no,5,5,5,5,3,2,5,3,4,5,2,5,5,5,2,2,3,5,4,3,4,5,1,4,3,4,2,2,2,3,4,4,2,2,2
6/26/2021 5:03:36,Sock,@nonlocal_lia,5,5,5,2,4,5,4,5,5,4,2,2,3,5,5,4,5,5,1,5,5,5,5,5,3,4,4,4,4,4,4,2,1,3,1
6/26/2021 5:13:44,Globe,LibHawkChip,5,5,4,4,1,3,5,1,1,5,3,5,5,3,1,2,2,3,2,2,3,5,2,5,2,3,2,1,1,2,4,5,3,2,1
6/26/2021 5:18:35,Sock,@BertAW_Russell,3,3,5,2,5,5,3,5,5,4,3,1,4,5,5,5,5,5,2,2,4,4,5,5,3,3,4,5,4,4,3,2,1,2,1
6/26/2021 5:23:10,Globe,@dril,4,4,4,3,3,4,5,3,4,3,3,4,4,5,4,3,3,4,3,2,5,5,3,4,3,4,4,4,4,4,4,3,1,3,1
6/26/2021 5:38:28,Very carefully,@LittleKeegs0,5,3,5,5,5,5,2,3,5,4,1,1,2,5,3,5,5,5,4,5,5,1,5,5,4,3,4,5,5,3,3,2,1,3,2
6/26/2021 5:48:46,Both,@panpsychisma,5,4,4,5,5,5,3,4,1,5,2,4,4,5,1,4,5,5,3,4,5,4,4,5,5,5,5,4,3,5,5,3,2,4,1
6/26/2021 5:52:29,Sock,CMartian89,4,4,5,3,5,5,3,4,5,5,2,1,2,4,3,5,5,5,3,3,5,3,4,5,4,3,4,5,5,3,3,1,1,3,1
6/26/2021 6:20:21,Sock,@reformismshill,4,5,4,4,5,5,5,4,2,5,1,1,5,4,4,5,5,5,2,2,5,4,2,5,3,4,5,4,4,5,5,2,1,2,1
6/26/2021 6:20:38,Sock,@norstlefty,5,3,5,3,5,5,4,5,5,5,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,1,1,3,1
6/26/2021 6:25:10,Sock,Alixxa01,5,3,5,5,5,5,4,5,4,3,3,4,2,5,5,5,5,5,1,4,5,5,5,4,4,4,5,5,5,5,3,2,1,4,2
6/26/2021 6:29:45,Globe,@CaioPCalio,5,5,3,2,2,4,5,5,1,5,3,2,4,2,2,3,4,4,4,2,4,3,4,5,2,4,3,2,1,4,5,3,2,3,1
6/26/2021 6:45:22,Globe,Jimbosupremo,4,4,4,4,4,4,5,4,4,1,1,1,3,5,4,5,5,3,4,5,5,4,5,3,4,4,5,5,5,5,5,3,2,4,1
6/26/2021 7:01:48,Globe,"Not today, Satan",5,5,4,5,4,4,3,5,1,5,2,3,4,5,2,2,4,4,4,3,3,5,3,5,4,4,3,3,3,4,5,4,1,3,2
6/26/2021 7:02:13,Both,www_lukas_gov,5,5,3,2,3,4,4,4,1,5,3,3,2,2,1,2,3,4,1,4,5,3,2,1,3,5,4,3,3,5,5,3,1,3,2
6/26/2021 7:05:32,Sock,kurtis_fabela,4,4,5,5,5,4,3,3,4,4,2,3,4,3,3,5,5,5,5,3,5,4,3,3,4,4,5,5,4,4,4,3,2,3,1
6/26/2021 7:10:03,Both,rzod00,4,5,4,5,3,3,5,3,3,5,3,3,3,5,2,3,4,5,4,3,5,4,3,4,2,4,3,1,3,4,4,2,1,3,1
6/26/2021 7:23:10,Both,@Queue_10,4,5,5,2,5,5,4,4,5,3,2,3,3,1,2,4,4,3,1,5,4,5,5,5,3,4,4,5,3,5,3,2,1,3,1
6/26/2021 7:47:28,Globe,Nope,3,5,1,1,1,1,5,1,1,5,5,1,5,2,1,1,1,1,1,1,3,4,1,5,1,2,1,1,1,4,4,3,3,2,3
6/26/2021 8:07:39,Democratic socialist,@leopruessner,5,3,5,3,5,5,4,5,2,5,2,3,4,4,5,5,5,5,3,5,5,5,5,5,5,3,4,4,4,4,3,1,1,2,3
6/26/2021 8:09:27,Globe,karanbirsingh0,4,5,3,4,4,3,5,3,2,5,3,3,3,1,4,4,4,4,2,1,5,5,1,3,2,4,3,4,3,2,5,4,2,4,2
6/26/2021 8:34:39,sewer socialist/market socialist/globe+rose/georgist/anarcho-pacifist/etc,bufordsharkley,5,4,5,3,5,5,5,4,5,5,1,2,3,4,3,3,4,5,2,4,4,3,3,4,4,3,3,4,4,2,1,1,1,2,1
6/26/2021 8:45:56,Sock,stern_tomer,5,1,5,1,5,5,2,1,5,5,1,1,3,5,3,5,5,5,1,3,5,1,5,5,4,4,2,5,4,3,3,2,1,3,1
6/26/2021 8:47:05,Globe,@jacksonkernion,5,5,4,4,5,4,5,2,5,5,2,3,5,4,4,4,3,5,2,2,4,5,2,4,3,4,5,4,4,5,4,2,2,3,1
6/26/2021 9:30:21,Sock,@kalakmanastan1,4,4,4,1,1,4,5,4,1,2,4,4,3,2,5,4,4,5,3,4,5,5,3,5,5,4,3,4,4,5,2,2,1,3,2
6/26/2021 9:52:23,Globe,@afadunn,4,4,3,4,4,5,4,4,3,5,2,4,4,3,3,5,4,4,1,3,5,4,5,5,5,5,5,3,4,5,5,3,2,4,1
6/26/2021 9:59:43,Globe,gkanapathy,5,5,4,5,5,5,3,5,2,5,2,5,5,3,1,3,3,5,4,2,3,4,1,2,3,4,4,4,4,3,4,3,2,3,1
6/26/2021 10:02:41,Globe,@johnstopsinging,5,5,5,3,4,5,5,3,3,5,3,3,3,5,4,3,4,5,2,3,4,4,5,5,4,4,4,4,4,4,4,3,2,3,1
6/26/2021 10:23:54,Globe,Theme_Arrow,4,5,2,4,4,3,5,2,4,5,3,4,4,4,1,3,4,4,2,3,5,5,2,5,3,4,4,3,4,5,4,2,1,3,1
6/26/2021 10:38:29,Both,joshjob42,5,4,5,4,4,4,5,3,2,5,3,4,5,5,1,3,2,5,4,4,5,5,3,5,3,4,2,1,2,4,5,3,1,3,1
6/26/2021 10:41:34,Sock,@mattmajeune,4,4,5,1,5,5,5,5,3,5,1,4,3,5,5,5,5,3,1,5,5,1,5,5,5,3,4,5,5,4,2,1,1,2,1
6/26/2021 10:57:09,Sock,Riccoja ,4,5,4,2,4,5,4,4,3,5,1,2,3,4,3,4,3,3,2,4,3,3,3,5,3,3,4,4,5,3,3,2,1,1,1
6/26/2021 11:01:59,Sock,gabriel_keru,5,4,5,2,5,5,3,5,4,5,1,1,4,5,5,5,5,5,2,3,5,5,5,5,4,5,5,5,5,5,5,1,1,5,1
6/26/2021 11:02:42,Both,Tobinjstone,5,5,5,3,4,3,5,3,3,5,2,2,5,2,1,4,4,3,2,4,5,5,3,5,2,5,4,2,4,3,4,2,2,1,1
6/26/2021 11:11:39,Both,johnjosephjingl,2,5,4,2,3,4,5,4,3,4,4,2,3,4,3,4,4,5,4,2,4,4,4,5,2,4,4,3,3,4,5,2,2,3,1
6/26/2021 11:23:21,Globe,@evancotthem,5,5,5,4,3,4,4,4,2,5,1,5,4,5,3,4,5,4,3,4,5,5,2,5,5,4,4,4,4,4,5,3,1,3,2
6/26/2021 11:27:13,Globe,@notrelevant ?,4,5,3,2,1,3,5,3,2,5,3,3,4,4,3,1,3,3,1,2,4,4,3,3,2,4,3,2,2,4,5,3,2,2,2
6/26/2021 11:27:15,Globe,DS_in_Taipei,4,4,5,5,5,4,5,3,2,5,3,3,5,5,3,4,4,4,3,1,4,3,2,3,4,5,4,3,4,5,5,2,2,4,2
6/26/2021 11:34:01,radical anti-fascist,@robyn9124,5,5,5,4,5,3,5,5,1,5,1,4,5,5,2,5,5,5,2,5,5,5,3,5,4,4,3,2,2,4,2,2,2,2,1
6/26/2021 11:35:25,Dracoist-Wumbotarianist,DoritosUK,5,5,5,5,2,3,5,3,1,5,3,4,4,4,2,2,2,1,3,4,4,5,2,4,2,2,1,1,1,1,1,1,1,1,1
6/26/2021 11:35:36,Sock,@SockJustSock,5,5,5,3,5,5,5,5,5,5,3,1,3,5,5,5,5,5,1,3,5,5,5,5,2,5,5,2,4,5,4,2,2,1,1
6/26/2021 11:36:12,Sock,@calmwatersavril,5,4,4,4,3,3,4,5,2,5,2,2,4,5,2,4,4,4,2,5,5,5,2,5,3,4,4,3,3,4,4,2,2,2,1
6/26/2021 11:37:08,Globe,@phillystan76,5,5,5,4,4,4,3,3,3,5,2,4,5,5,3,3,2,4,2,4,5,5,2,5,5,5,4,3,3,5,5,2,1,3,1
6/26/2021 11:37:17,Sock,dgilman,5,5,5,1,1,5,4,2,3,3,1,3,3,5,3,5,5,4,1,3,3,5,2,3,2,5,3,1,2,2,4,2,1,1,1
6/26/2021 11:37:53,Globe,@Robert_t_orr,5,5,5,5,5,4,5,2,2,5,2,5,4,4,2,4,5,5,5,3,4,3,1,3,1,4,3,3,3,3,4,3,1,3,2
6/26/2021 11:42:14,Globe,@sopadepanda321,5,5,4,5,2,2,4,4,1,4,3,5,5,2,2,3,3,5,2,4,5,5,2,5,2,3,2,2,2,4,3,5,3,3,2
6/26/2021 11:45:52,Globe,@HeavyGrenadier,5,5,5,5,3,4,5,3,1,5,3,5,5,5,1,1,3,1,4,1,5,3,5,5,4,5,4,2,5,5,5,1,1,4,1
6/26/2021 11:51:29,non-denominational anti-capitalist,@colinjmcauliffe,5,4,5,3,5,5,2,5,5,4,1,3,1,4,4,5,5,5,4,4,4,3,5,5,4,3,3,4,4,4,4,1,1,1,1
6/26/2021 11:57:44,Sock,jdcmedlock,5,4,5,5,5,5,5,4,4,5,1,1,4,5,5,5,5,5,4,4,5,4,4,5,4,3,4,5,5,4,3,2,1,3,1
6/26/2021 11:57:57,Sock,@B_S_Alert,4,4,5,5,5,5,3,4,3,4,2,2,2,5,4,5,5,4,5,2,5,5,5,4,3,5,5,5,5,5,4,3,1,3,1
6/26/2021 11:59:12,Both,@pigmentbleu.,5,5,5,5,5,5,5,5,5,3,1,3,2,5,5,5,5,3,2,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5
6/26/2021 12:00:25,Globe,levimoneybunz,1,1,1,1,2,2,1,2,2,1,2,1,1,1,5,3,4,2,3,2,1,3,4,2,3,2,2,3,1,1,1,4,5,4,4
6/26/2021 12:01:57,Sock,@team_chao,4,2,5,4,4,5,4,3,2,4,4,4,1,5,2,5,5,3,1,2,4,5,5,5,2,4,5,5,4,4,4,2,1,3,1
6/26/2021 12:02:53,Both,Sock_william,5,4,5,3,5,5,3,4,3,3,2,1,3,5,5,5,5,5,1,5,5,5,5,5,3,4,5,5,5,5,5,1,1,3,1
6/26/2021 12:05:59,Sock,davidawaldron,5,5,5,1,5,5,3,4,4,4,2,3,2,5,2,4,4,4,4,5,4,2,5,5,4,4,5,5,5,4,3,2,1,1,1
6/26/2021 12:06:46,Globe,Notoriousley,4,5,3,5,5,2,5,3,1,5,4,5,5,5,3,2,2,5,4,4,5,5,1,5,4,4,2,2,3,4,5,5,3,2,3
6/26/2021 12:07:20,Globe,@RossDSimmons,5,5,4,3,4,5,4,4,1,4,2,2,3,5,2,4,4,4,1,1,5,4,4,5,1,5,5,4,3,5,5,2,1,2,2
6/26/2021 12:12:43,Globe,Beefaroni,4,4,4,4,4,4,3,4,5,4,1,2,4,3,3,5,5,3,1,4,4,4,4,2,3,3,3,4,4,4,3,2,2,3,1
6/26/2021 12:12:56,Sock,@sampinzkaberry,5,4,5,4,4,5,3,4,5,5,2,3,2,4,4,4,4,4,1,3,5,3,4,4,4,4,5,5,5,5,5,2,1,4,1
